iso_a3,continent,region_id,country,income_id,gdp,population,total_waste,composition,percent
CMR,Africa,Sub-Saharan_Africa,Cameroon,LMC,3262.763671875,21655716,3270616.59,plastic,3.3
CMR,Africa,Sub-Saharan_Africa,Cameroon,LMC,3262.763671875,21655716,3270616.59,rubber_leather,NA
CMR,Africa,Sub-Saharan_Africa,Cameroon,LMC,3262.763671875,21655716,3270616.59,wood,NA
CMR,Africa,Sub-Saharan_Africa,Cameroon,LMC,3262.763671875,21655716,3270616.59,yard_garden_green_waste,NA
CAF,Africa,Sub-Saharan_Africa,Central African Republic,LIC,822.6104736328125,4515392,1105983,food_organic_waste,NA
CAF,Africa,Sub-Saharan_Africa,Central African Republic,LIC,822.6104736328125,4515392,1105983,glass,NA
CAF,Africa,Sub-Saharan_Africa,Central African Republic,LIC,822.6104736328125,4515392,1105983,metal,NA
CAF,Africa,Sub-Saharan_Africa,Central African Republic,LIC,822.6104736328125,4515392,1105983,other,NA
CAF,Africa,Sub-Saharan_Africa,Central African Republic,LIC,822.6104736328125,4515392,1105983,paper_cardboard,NA
CAF,Africa,Sub-Saharan_Africa,Central African Republic,LIC,822.6104736328125,4515392,1105983,plastic,NA
CAF,Africa,Sub-Saharan_Africa,Central African Republic,LIC,822.6104736328125,4515392,1105983,rubber_leather,NA
CAF,Africa,Sub-Saharan_Africa,Central African Republic,LIC,822.6104736328125,4515392,1105983,wood,NA
CAF,Africa,Sub-Saharan_Africa,Central African Republic,LIC,822.6104736328125,4515392,1105983,yard_garden_green_waste,NA
TCD,Africa,Sub-Saharan_Africa,Chad,LIC,1732.6912841796875,11887202,1358850.53,food_organic_waste,70
TCD,Africa,Sub-Saharan_Africa,Chad,LIC,1732.6912841796875,11887202,1358850.53,glass,1
TCD,Africa,Sub-Saharan_Africa,Chad,LIC,1732.6912841796875,11887202,1358850.53,metal,2
TCD,Africa,Sub-Saharan_Africa,Chad,LIC,1732.6912841796875,11887202,1358850.53,other,18
TCD,Africa,Sub-Saharan_Africa,Chad,LIC,1732.6912841796875,11887202,1358850.53,paper_cardboard,3
TCD,Africa,Sub-Saharan_Africa,Chad,LIC,1732.6912841796875,11887202,1358850.53,plastic,6
TCD,Africa,Sub-Saharan_Africa,Chad,LIC,1732.6912841796875,11887202,1358850.53,rubber_leather,NA
TCD,Africa,Sub-Saharan_Africa,Chad,LIC,1732.6912841796875,11887202,1358850.53,wood,NA
TCD,Africa,Sub-Saharan_Africa,Chad,LIC,1732.6912841796875,11887202,1358850.53,yard_garden_green_waste,NA
COM,Africa,Sub-Saharan_Africa,Comoros,LIC,2959.5400390625,777424,91013,food_organic_waste,50
COM,Africa,Sub-Saharan_Africa,Comoros,LIC,2959.5400390625,777424,91013,glass,2
COM,Africa,Sub-Saharan_Africa,Comoros,LIC,2959.5400390625,777424,91013,metal,4
COM,Africa,Sub-Saharan_Africa,Comoros,LIC,2959.5400390625,777424,91013,other,22
COM,Africa,Sub-Saharan_Africa,Comoros,LIC,2959.5400390625,777424,91013,paper_cardboard,7
COM,Africa,Sub-Saharan_Africa,Comoros,LIC,2959.5400390625,777424,91013,plastic,5
COM,Africa,Sub-Saharan_Africa,Comoros,LIC,2959.5400390625,777424,91013,rubber_leather,NA
COM,Africa,Sub-Saharan_Africa,Comoros,LIC,2959.5400390625,777424,91013,wood,NA
COM,Africa,Sub-Saharan_Africa,Comoros,LIC,2959.5400390625,777424,91013,yard_garden_green_waste,10
COD,Africa,Sub-Saharan_Africa,"Congo, Dem. Rep.",LIC,1055.572998046875,78736152,14385226.02,food_organic_waste,NA
COD,Africa,Sub-Saharan_Africa,"Congo, Dem. Rep.",LIC,1055.572998046875,78736152,14385226.02,glass,NA
COD,Africa,Sub-Saharan_Africa,"Congo, Dem. Rep.",LIC,1055.572998046875,78736152,14385226.02,metal,NA
COD,Africa,Sub-Saharan_Africa,"Congo, Dem. Rep.",LIC,1055.572998046875,78736152,14385226.02,other,NA
COD,Africa,Sub-Saharan_Africa,"Congo, Dem. Rep.",LIC,1055.572998046875,78736152,14385226.02,paper_cardboard,NA
